name,symbol,type,quark_content,charge,strangeness,isospin,isospin_3rd_component,baryon_number,mass_MeV,mean_lifetime_s,interaction

EtaZero,η0,meson,"up anti-up + down anti-down + strange anti-strange",0,0,0,0,0,547.862,5.0e-19,electromagnetic
KaonPlus,K+,meson,"up anti-strange",+1,+1,1/2,+1/2,0,493.677,1.24e-8,weak
KaonMinus,K-,meson,"strange anti-up",-1,-1,1/2,-1/2,0,493.677,1.24e-8,weak
PionPlus,π+,meson,"up anti-down",+1,0,1,+1,0,139.570,2.60e-8,weak
PionZero,π0,meson,"up anti-up / down anti-down",0,0,1,0,0,134.977,8.4e-17,electromagnetic
PionMinus,π-,meson,"down anti-up",-1,0,1,-1,0,139.570,2.60e-8,weak


Lambda0,Λ0,baryon,"up down strange",0,-1,0,0,1,1115.683,2.63e-10,weak
OhmMinus,Ω-,baryon,"strange strange strange",-1,-3,0,0,1,1672.45,8.21e-11,weak
Proton,p,baryon,"up up down",+1,0,1/2,+1/2,1,938.272,stable,strong
Neutron,n,baryon,"up down down",0,0,1/2,-1/2,1,939.565,880,weak
XiZero,Ξ0,baryon,"up strange strange",0,-2,1/2,+1/2,1,1314.86,2.90e-10,weak
XiMinus,Ξ-,baryon,"down strange strange",-1,-2,1/2,-1/2,1,1321.71,1.64e-10,weak
XiPlus,Ξ+,baryon,"anti-down anti-strange anti-strange",+1,+2,1/2,+1/2,-1,1321.71,1.64e-10,weak
SigmaZero,Σ0,baryon,"up down strange",0,-1,1,0,1,1192.642,7.4e-20,electromagnetic
SigmaPlus,Σ+,baryon,"up up strange",+1,-1,1,+1,1,1189.37,8.02e-11,weak
SigmaMinus,Σ-,baryon,"down down strange",-1,-1,1,-1,1,1197.449,1.48e-10,weak
DeltaPlusPlus,Δ++,baryon,"up up up",+2,0,3/2,+3/2,1,1232,5.6e-24,strong
DeltaPlus,Δ+,baryon,"up up down",+1,0,3/2,+1/2,1,1232,5.6e-24,strong
DeltaZero,Δ0,baryon,"up down down",0,0,3/2,-1/2,1,1232,5.6e-24,strong
DeltaMinus,Δ-,baryon,"down down down",-1,0,3/2,-3/2,1,1232,5.6e-24,strong
